dy,S,mu
1.2,1,1.1283
1.1,1,1.1283
1.1,1,1.1283
1.1,1,1.1283
0.23028406980772376,1,1.1283
2.0545521677766856,1,1.1283
0.2594923224389898,1,1.1283
0.4150031774971512,1,1.1283
-0.1806188571289985,1,1.1283
0.1680680688393994,1,1.1283
1.6738528172632534,1,1.1283
2.4245093234943167,1,1.1283
2.2463190648600526,1,1.1283
3.030697246029252,1,1.1283
1.423311922302338,1,1.1283
1.9847404906085229,1,1.1283
-0.029137676307537053,1,1.1283
0.04928189258471516,1,1.1283
0.046475165531258744,1,1.1283
0.9567918801594004,1,1.1283
1.5980423482861699,1,1.1283
0.7118675811075486,1,1.1283
0.2929388392965646,0,-0.2132
-0.5717301863603458,0,-0.2132
-0.956287675568644,0,-0.2132
0.7198108766513516,0,-0.2132
-0.8845714387602007,0,-0.2132
0.9995028256106249,0,-0.2132
-0.1777773176335836,0,-0.2132
-1.6249873253615923,0,-0.2132
0.7322820573468641,1,1.1283
1.547109014565837,1,1.1283
1.6330927789566083,1,1.1283
-0.015315242783644267,1,1.1283
0.3293078020186516,1,1.1283
0.19218749495873733,1,1.1283
1.4590520750176543,1,1.1283
1.1315438843923482,1,1.1283
1.3320805848664525,1,1.1283
1.5840197165977445,1,1.1283
1.2296785244267412,1,1.1283
0.959939261790538,1,1.1283
1.4079115780223646,1,1.1283
0.9253762229187829,1,1.1283
0.5576114549269678,1,1.1283
0.5734722312633366,1,1.1283
1.333245872942411,1,1.1283
-1.1490561435991524,0,-0.2132
0.027553309937768666,0,-0.2132
1.6969493678510985,1,1.1283
1.1574285425403672,1,1.1283
2.1148286050590444,1,1.1283
-1.1626816772545983,0,-0.2132
0.2879019475958324,0,-0.2132
-0.4463457624876962,0,-0.2132
-0.7209729473732104,0,-0.2132
-1.1482679653188392,0,-0.2132
-0.432718440352123,0,-0.2132
0.6045065549004429,0,-0.2132
0.34041026777584826,0,-0.2132
0.17426089107601456,0,-0.2132
-1.7674457374250319,0,-0.2132
0.04672361402901304,0,-0.2132
0.3621405094174056,1,1.1283
1.6059857973525842,1,1.1283
1.977767413214837,1,1.1283
1.588200137158962,1,1.1283
1.6114188818877757,1,1.1283
1.3628680620355045,1,1.1283
1.323963360067771,1,1.1283
1.3896453706257987,1,1.1283
0.32592423071859544,1,1.1283
1.819280391616012,1,1.1283
2.6809942670681166,1,1.1283
0.5587248755122022,1,1.1283
-1.5477324177361267,0,-0.2132
-0.1439953711500872,0,-0.2132
0.03596240505507256,0,-0.2132
-0.8778115334172024,0,-0.2132
0.07614480264947077,0,-0.2132
-0.10074796542594253,0,-0.2132
1.1006161687468599,0,-0.2132
1.3818088461903009,1,1.1283
1.772555794073328,1,1.1283
1.8268854647120725,1,1.1283
1.6035440246218169,1,1.1283
1.6543389156881696,1,1.1283
0.9128436377648026,1,1.1283
0.3337355356028153,1,1.1283
1.8140485524744154,1,1.1283
2.0121808217235855,1,1.1283
2.211593382617059,1,1.1283
0.827016373471386,1,1.1283
1.166426368331275,1,1.1283
1.0147182994890818,1,1.1283
1.2662130775132878,1,1.1283
1.5280068561681701,1,1.1283
1.513152022584221,1,1.1283
2.837124870784816,1,1.1283
0.7530305973494711,1,1.1283
0.6423765119025677,1,1.1283
2.1924944231016577,1,1.1283
0.6444188403041994,1,1.1283
1.5762037020776396,1,1.1283
0.2904975043003437,1,1.1283
0.18526587368262837,0,-0.2132
-0.14180649017564434,0,-0.2132
1.641948543697984,0,-0.2132
-0.5167285360917593,0,-0.2132
-0.9848586078790872,0,-0.2132
-0.26113314586375813,1,1.1283
-0.4593957808765774,1,1.1283
0.15481516342455048,1,1.1283
2.868037070021076,1,1.1283
1.5718797077707192,1,1.1283
0.12298589326503193,0,-0.2132
0.46254208869415725,0,-0.2132
3.569088538908051,1,1.1283
1.7872226528013462,1,1.1283
1.9947520268627463,1,1.1283
1.345257696597343,1,1.1283
-0.14079282571040597,1,1.1283
0.8819398961587397,1,1.1283
0.2112916730368697,1,1.1283
0.7180116049574478,1,1.1283
0.058548821572089293,1,1.1283
0.21561059882801925,1,1.1283
1.0696437119758015,1,1.1283
2.6903985513957664,1,1.1283
0.6971516625505173,1,1.1283
2.2133583657482543,1,1.1283
1.1252272180817087,1,1.1283
0.37261995407988424,1,1.1283
0.2099430084557472,1,1.1283
0.11037771479106251,1,1.1283
1.3575639918673919,1,1.1283
1.4816957720746533,1,1.1283
0.48585711667165576,1,1.1283
0.9000098292980256,1,1.1283
1.613614162985416,1,1.1283
1.8647936496891027,1,1.1283
2.2165486617174706,1,1.1283
0.6034886079085479,1,1.1283
1.00357108861014,1,1.1283
1.3134456924192668,1,1.1283
1.5298615676517047,1,1.1283
0.28506474963186856,1,1.1283
2.0605515782950796,1,1.1283
1.33569528348837,1,1.1283
2.4402679230934305,1,1.1283
0.7854032177554094,1,1.1283
0.9710995695027673,1,1.1283
1.3667061260353723,1,1.1283
0.8419933517514114,0,-0.2132
-0.3977260507324224,0,-0.2132
-0.5736130657263485,1,1.1283
0.7350420659820378,1,1.1283
-1.0650872505954314,1,1.1283
0.5971900367435942,1,1.1283
1.1625658336253375,1,1.1283
1.0049812284067832,1,1.1283
-0.4290200118636809,1,1.1283
1.6171080723341138,1,1.1283
1.9550420162919222,1,1.1283
1.9164072475299636,1,1.1283
1.6067344794095422,1,1.1283
0.8936300054224537,1,1.1283
1.3935689623160274,1,1.1283
0.5889824057454789,1,1.1283
0.5987797083856665,1,1.1283
1.5037315719526374,1,1.1283
1.1652437192976801,1,1.1283
-0.03238757176012838,0,-0.2132
-0.7594982890462112,0,-0.2132
-0.06268832823806161,0,-0.2132
0.7643931850871023,0,-0.2132
1.4839975594836234,1,1.1283
2.3151793292248044,1,1.1283
0.8987681417053759,1,1.1283
1.0648877914138997,1,1.1283
0.2426289504132358,0,-0.2132
-0.17454838404104278,0,-0.2132
-0.8893506302755321,0,-0.2132
-0.8546566474957895,0,-0.2132
-0.8701821327081215,0,-0.2132
0.03513961503188334,0,-0.2132
0.9416058342096514,0,-0.2132
1.1027621095926587,0,-0.2132
0.9257506641756159,0,-0.2132
1.8442286167677744,0,-0.2132
-0.08115826591342712,1,1.1283
0.3427520394484133,1,1.1283
0.6273600339001678,1,1.1283
0.029537254070219454,1,1.1283
0.9021000825087061,1,1.1283
1.0203856269591487,0,-0.2132
2.1379010452421934,1,1.1283
2.021958508625798,1,1.1283
1.3559478918126373,1,1.1283
0.541155367002814,1,1.1283
1.5599529950574784,1,1.1283
2.015310405435631,1,1.1283
0.908786138574412,1,1.1283
-0.5450332824575785,0,-0.2132
1.3825668660724535,1,1.1283
0.4525186401821836,1,1.1283
1.8528472619484362,1,1.1283
2.1189711041687724,1,1.1283
1.6084571741351257,1,1.1283
-0.06261097633849677,0,-0.2132
-0.28698188879471853,0,-0.2132
-0.4491026080135112,0,-0.2132
1.0341257620250406,1,1.1283
-0.7480448009292975,1,1.1283
-1.112692908550781,0,-0.2132
0.9489074118596402,0,-0.2132
2.2713463270783425,1,1.1283
-0.243422062889737,1,1.1283
1.4672886139616415,1,1.1283
0.870901492162411,1,1.1283
0.7699567874296984,1,1.1283
1.0669766655130815,1,1.1283
1.7758730078216427,1,1.1283
2.4055525337961785,1,1.1283
0.8090232614385796,1,1.1283
2.2694891150000363,1,1.1283
0.9673970991539319,1,1.1283
1.9543051454585525,1,1.1283
0.8213815178078601,1,1.1283
1.267682456391729,1,1.1283
1.9849805943949894,1,1.1283
2.5674957359261743,1,1.1283
2.034729491873531,1,1.1283
2.2635983358690157,1,1.1283
3.1563921369778978,1,1.1283
0.26454748039888165,0,-0.2132
0.9517742297341604,0,-0.2132
-1.0176880074909227,0,-0.2132
-0.4624681572779092,0,-0.2132
2.2097022811289446,1,1.1283
1.2013960732765936,1,1.1283
0.38887300902699495,1,1.1283
1.224250828815324,1,1.1283
0.37949918752427125,1,1.1283
0.34350191847548905,1,1.1283
0.4074176752598341,1,1.1283
1.5520572734853082,1,1.1283
1.3327363765972657,1,1.1283
2.3691551301602276,1,1.1283
1.7147722789512416,1,1.1283
1.9721167509473565,1,1.1283
2.7732032206172725,1,1.1283
0.5872671204297939,1,1.1283
1.2016591672583745,1,1.1283
1.1975054305324453,1,1.1283
2.977427765801403,1,1.1283
-0.5678607749559879,1,1.1283
2.575175038679545,1,1.1283
2.745377898592569,1,1.1283
-0.8302831637237427,0,-0.2132
-0.31695097575442166,0,-0.2132
-0.047658263817212054,0,-0.2132
2.3135976914449996,1,1.1283
-0.44625080144091794,0,-0.2132
1.866517664811163,1,1.1283
0.4517710410066076,1,1.1283
0.8028348526535296,1,1.1283
2.0512308233149814,1,1.1283
0.4667279400197999,1,1.1283
1.1406296093518837,1,1.1283
-1.3473188086903867,0,-0.2132
2.4637148627051824,0,-0.2132
-0.0700881510928851,0,-0.2132
0.8183074105323721,0,-0.2132
-0.014207859570532555,0,-0.2132
0.053816798599184534,0,-0.2132
-0.2900169827392478,0,-0.2132
0.48504187091941864,1,1.1283
0.7340228325208074,1,1.1283
0.5380088654539341,1,1.1283
-0.11055323223004954,1,1.1283
0.6213745040479561,1,1.1283
1.3818805336116355,1,1.1283
2.206101643667318,1,1.1283
1.5087251560833508,1,1.1283
1.1948108348820954,1,1.1283
-1.574781424445048,0,-0.2132
0.005234162540153575,0,-0.2132
1.2880530864429311,1,1.1283
1.7727895574281152,1,1.1283
1.0991429513271984,1,1.1283
2.9397886202113037,1,1.1283
2.481784735508988,1,1.1283
1.0813896909306608,1,1.1283
0.6768581052617404,1,1.1283
0.4020337859117026,1,1.1283
2.6989292910786244,1,1.1283
1.6348601896886596,1,1.1283
0.510781582523926,1,1.1283
1.062134329191714,1,1.1283
-0.22928503262679634,1,1.1283
0.31073458648338226,1,1.1283
1.5776484306142369,1,1.1283
1.0384693149342592,1,1.1283
0.973067557622426,1,1.1283
2.2712127417443098,1,1.1283
-0.12172042659619997,1,1.1283
1.4576917716640172,1,1.1283
0.6499615240141255,1,1.1283
2.075686411203816,1,1.1283
1.7634174240342275,1,1.1283
1.6535032994559542,1,1.1283
-0.22567433412646443,1,1.1283
0.6731954158201988,1,1.1283
0.9129344837009965,1,1.1283
0.9523106889487714,1,1.1283
0.9655437753980416,1,1.1283
0.6956592755749287,1,1.1283
1.5505314741891443,1,1.1283
1.7740799695488045,1,1.1283
2.4333663166085113,1,1.1283
1.6876044310233604,1,1.1283
0.03702385892476978,1,1.1283
1.6987973369509244,1,1.1283
-1.2014395303108842,0,-0.2132
-0.37569061448608104,0,-0.2132
-0.4913867494349483,0,-0.2132
-1.1865911345266518,0,-0.2132
0.4026291671885769,1,1.1283
1.7067920764491185,1,1.1283
0.34676722148510186,1,1.1283
1.5136488373692434,1,1.1283
1.1047692065039645,1,1.1283
0.286541750473701,1,1.1283
1.5437361752229466,1,1.1283
1.357695413691991,1,1.1283
1.1766402416832082,1,1.1283
-0.10392085368077586,1,1.1283
0.8722657212726601,1,1.1283
2.3610929324497243,1,1.1283
1.340208424235973,1,1.1283
2.255078012309271,1,1.1283
1.3378279994232245,1,1.1283
0.23724145674076813,1,1.1283
0.23566070654123283,1,1.1283
0.7602814163077481,1,1.1283
1.007402869992329,1,1.1283
0.8056001815659347,1,1.1283
1.4560107526064576,1,1.1283
1.55604142485464,1,1.1283
3.5103447790140647,1,1.1283
0.7587163823660048,1,1.1283
1.3946197094170898,1,1.1283
1.574542728711472,1,1.1283
2.3865032208539354,1,1.1283
1.7523187775533515,1,1.1283
0.8968737542316583,1,1.1283
0.2833943535890574,1,1.1283
-0.5233428893592054,0,-0.2132
-1.1893409036043083,0,-0.2132
0.4045478883950686,1,1.1283
1.71227290637363,1,1.1283
1.0141456231272932,1,1.1283
1.2086457735378044,1,1.1283
0.9468726542093596,1,1.1283
1.875318611332523,1,1.1283
2.423520627553885,1,1.1283
0.9141438813511109,1,1.1283
-1.030058869405379,0,-0.2132
0.5761452087974891,0,-0.2132
-1.4378231101994845,0,-0.2132
-1.771304712134607,0,-0.2132
-0.5020218396286983,0,-0.2132
-1.2882641862165958,0,-0.2132
1.15056189123252,0,-0.2132
1.0921731745195322,0,-0.2132
-1.6196948578498782,0,-0.2132
-2.1867892754911926,0,-0.2132
-2.726272758987097,0,-0.2132
0.39073416627927315,0,-0.2132
-0.06437847138975522,0,-0.2132
-0.13880064479941923,0,-0.2132
0.03063822375220296,0,-0.2132
-0.6808778597228979,0,-0.2132
-0.07869299463194696,0,-0.2132
0.004371081650667463,0,-0.2132
-0.03955987279385331,1,1.1283
0.7527809940733,1,1.1283
0.2733176892793604,1,1.1283
2.6442127111722886,1,1.1283
0.07281607760678832,1,1.1283
1.0272167876954308,1,1.1283
1.6419849356574332,1,1.1283
3.164870026452943,1,1.1283
0.04202663200814705,1,1.1283
0.02041072314173087,1,1.1283
0.38873024820848723,1,1.1283
1.9797952783663233,1,1.1283
0.1509427815641949,0,-0.2132
1.4994259402930286,1,1.1283
-0.3782472434768327,1,1.1283
0.9427051611082373,1,1.1283
1.3613577972276203,1,1.1283
1.0588382873259181,1,1.1283
1.5714847536236791,1,1.1283
-0.09902190339321248,1,1.1283
1.6027474231519547,1,1.1283
1.3549009541512738,1,1.1283
2.2927773177196737,1,1.1283
1.4635145859653391,1,1.1283
1.3296799959018482,1,1.1283
1.560758128119725,1,1.1283
1.1213719157790012,1,1.1283
1.042709311538807,1,1.1283
0.3819592853197086,1,1.1283
1.7214164071887705,1,1.1283
-0.08703363150665666,1,1.1283
2.8107071414038542,1,1.1283
0.8314129646919197,0,-0.2132
-0.6358873482274621,0,-0.2132
-0.3449423789130072,0,-0.2132
0.9828935964080313,1,1.1283
1.7340258553893375,1,1.1283
1.0302209129118032,1,1.1283
1.3780420668568256,1,1.1283
-1.313117317279584,0,-0.2132
-0.9564455968704687,0,-0.2132
-1.1281368253959825,0,-0.2132
0.5197500997344786,0,-0.2132
0.170848052361743,0,-0.2132
0.12141502529328657,0,-0.2132
0.5348037962053109,0,-0.2132
0.7914534351904952,0,-0.2132
1.5705792962938323,1,1.1283
1.6158906850321137,1,1.1283
0.9188029719803507,1,1.1283
2.145369737103248,1,1.1283
1.4610876029313413,1,1.1283
0.06220717046408297,1,1.1283
-0.16112683177966425,1,1.1283
2.011132281179539,1,1.1283
0.9860615549215347,1,1.1283
1.3507819268538468,1,1.1283
0.32934137589678103,1,1.1283
1.2127802827331018,1,1.1283
0.4327899439697368,1,1.1283
0.10493007603176197,1,1.1283
1.1417714579387785,1,1.1283
1.485915907582097,1,1.1283
1.1852632376886723,1,1.1283
2.7207719772989183,1,1.1283
1.5347068258589671,1,1.1283
1.6636451986779957,1,1.1283
1.0056687874120671,1,1.1283
-0.2721442606346306,1,1.1283
1.157043080195943,1,1.1283
-0.9146706946446092,0,-0.2132
-0.8597343864769432,0,-0.2132
-0.5790688796709199,0,-0.2132
0.1853986986122477,0,-0.2132
0.18535021058032713,0,-0.2132
1.7411623762505382,1,1.1283
2.095983185106103,1,1.1283
-0.38331714846366727,1,1.1283
1.3968153455326164,1,1.1283
-0.09355216766565988,1,1.1283
2.088959774953995,1,1.1283
1.4548524646065009,1,1.1283
2.359879596941555,1,1.1283
1.4227952303660985,1,1.1283
-0.6470700482286214,0,-0.2132
-1.0437044012603374,0,-0.2132
0.31487546785969167,1,1.1283
1.1723268463178813,1,1.1283
2.184471432801303,1,1.1283
2.7650077852764436,1,1.1283
1.9933812634329695,1,1.1283
0.2042768733833702,1,1.1283
1.574993225452511,1,1.1283
-0.4578062373335138,1,1.1283
1.6213995222234252,1,1.1283
1.590668107042618,1,1.1283
0.6445257870332546,0,-0.2132
0.34984153135383,0,-0.2132
-0.9391812050958808,0,-0.2132
0.30959435259089285,0,-0.2132
-1.6120013689220685,0,-0.2132
-1.3346930257308034,0,-0.2132
-0.11924843223944495,0,-0.2132
0.34612295099007895,0,-0.2132
2.4778399445584363,1,1.1283
0.964405828369862,0,-0.2132
0.6955333811242425,0,-0.2132
-0.21781862522029594,0,-0.2132
0.5771729293365633,0,-0.2132
-0.28246628112242006,0,-0.2132
1.9333178348869828,1,1.1283
0.43276307267463754,1,1.1283
0.5892157668556748,1,1.1283
1.877211680799728,1,1.1283
1.2821245514572348,1,1.1283
